ctry_year,CAgdp,STDebt/Res,FXimp,CPI,Taxgdp,InterestRev,RGDPyy,GDPppp,GDPpc,FX,FXchg,CG_DEBT_GDP,default_amount,default,fx_grade,lc_grade,tc_rating,country,year,default_lag1,cluster,fx_numeric,rating_binary,pca1,pca2
TUR_2018,-1.87478,99.9804,4.19702,16.3325,17.2701,9.11947,3.01317,2303770000000.0,9568.84,4.82837,0.3235191728364941,28.371922789042,0,0.0,B+,BB-,BB-,TUR,2018,1.0,1,14.0,1,-2.1442333098081447,0.2205957109292043
TUR_2019,1.97278,90.77,5.15105,15.1768,16.5244,8.29847,0.818515,2350310000000.0,9215.44,5.67382,0.17510049975457576,30.780744441314,0,0.0,B+,BB-,BB-,TUR,2019,0.0,0,14.0,1,-0.5364632039274305,0.42861417455977446
TUR_2020,-3.931302,92.55633333333334,4.9273153333333335,9.440319333333331,17.9485,9.056398333333334,5.037210666666667,1596704333333.3333,10313.592666666666,2.3922006666666666,0.10222144643485667,35.908182280599,0.14,1.0,B+,BB-,BB-,TUR,2020,0.0,0,14.0,1,-0.53005991787231,0.4662754011745114
TUR_2021,-3.931302,92.55633333333334,4.9273153333333335,9.440319333333331,17.9485,9.056398333333334,5.037210666666667,1596704333333.3333,10313.592666666666,2.3922006666666666,0.10222144643485667,37.868871827572,0,0.0,B+,BB-,BB-,TUR,2021,1.0,1,14.0,1,-1.571656400709549,0.14068541520429326
TWN_2005,-0.4347337311403914,47.335197216533466,4.130723388541667,5.361169380389611,18.172841426204883,9.67876861098078,5.020830133333333,593180156990.2913,17249.862142857142,436.7980633980583,-0.010510856940339338,29.490012815001,0,0.0,AA-,AA-,AA+,TWN,2005,0.0,0,4.0,0,0.767617685980101,-0.5134874900778497
TWN_2006,0.02859451676954726,41.63701628477905,4.473931800990099,5.361124144588744,18.636269454980503,9.431637803852064,5.913765,625761253611.1111,18211.295336363637,410.6576474444445,-0.0017593416677950822,28.813815326949,0,0.0,AA-,AA-,AA+,TWN,2006,0.0,0,4.0,0,0.7911775228687579,-0.6006692828993461
TWN_2007,-1.3974596836836835,42.2719449,4.578204009326924,5.453012188976926,18.42626505573556,8.586666344771723,5.784099763157894,659418769464.2858,20591.05645614035,422.4163114732143,-0.0534908076442419,27.822651098477,0,0.0,AA-,AA-,AA+,TWN,2007,0.0,0,4.0,0,0.9170480461513228,-0.6173572500182248
TWN_2008,-2.897392885973409,40.729753527272734,3.9875037736363637,9.88570837549407,17.880117544833485,8.258650358263305,3.4176807883333336,665040832796.6102,21910.652341666668,414.3958310338983,-0.0041055711317452715,28.806948877843,0,0.0,AA-,AA-,AA+,TWN,2008,0.0,0,4.0,0,0.6150044451902732,-0.33298482952323694
TWN_2009,-1.0829417448210923,33.72739776181818,5.995992774774774,3.8019567981262066,16.699570780127605,9.163483568067225,-1.3655052099173555,665820148151.2605,19306.892223140498,442.59633484873945,0.07692551023048559,31.93836112929,0,0.0,AA-,AA-,AA+,TWN,2009,0.0,0,4.0,0,0.539827239056182,0.10928756474956322
TWN_2010,-0.8471492056932968,33.39050505172413,5.596338244360902,4.140552924369747,16.473962535616025,8.799261065024941,3.9854547604838717,696741936721.3115,20106.753209677423,433.611222737705,0.006803947535302816,32.264179861874,0,0.0,AA-,AA-,AA+,TWN,2010,0.0,0,4.0,0,0.6668667166929186,-0.453556553463576
